№,Номер авто,Название авто,Описание,Владелец
1,У314ОМ77,Chevrolet,Помятый задний бампер,Киприянов А. И.
2,О006ОО178,Lorraine-Dietrich,Царапины на левом крыле,Петриенко М. Ю.
3,К994ХЕ78,Tesla,Только с завода,Петриенко М. Ю.
4,С569ТВ78,Lorraine-Dietrich,"Помятая левая дверь, царапина на переднем бампере",Комаренко И. П.
5,С614СА23,Alfa Romeo,Лобовое стекло в трещинах,Шарко П. К.
6,С746ОР78,Tesla,"Только с завода, проблема с документами",Петриенко М. Ю.
7,Н130КЕ777,Lorraine-Dietrich,"Раритетная модель, перебрать двигатель",Силагадзе Л. С.
8,Н857СК27,Lada,"Не заводится, без внешних повреждений",Петриенко М. Ю.
9,У657СА77,Lada,Не читается VIN,Киприянов А. И.
10,Е778ВЕ178,Ford,"Поменять габаритные лампы, резину на зимнюю",Яковлева Е. А.
11,К886УН68,Lada,Клиент жаловался на тёмные выхлопы при езде в городе,Смитенко С. С.
12,Н045МО97,Lada,"Разбита левая фара, помят передний бампер",Силагадзе Л. С.
13,Т682КО777,Alfa Romeo,Поменять резину на зимнюю. Царапина на капоте (?),Яковлева Е. А.
14,О147НМ78,Chevrolet,Провести ТО №9,Шарко П. К.
15,К110ТА77,Lada,Развал-схождение + замена резины,Смитенко С. С.
16,Е717ОЕ78,Chevrolet,"Помята водительская дверь, заменить габаритки",Шарко П. К.
17,У261ХО57,Ford,"Заменить резину, проверить свечи",Петриенко М. Ю.
18,М649ОМ78,Alfa Romeo,Непонятные шумы при заводе,Киприянов А. И.
19,С253НО90,Ford,"Заменить аккумулятор, проверить свечи",Комаренко И. П.
20,А757АХ11,Nissan,"ТО, клиент жалуется, что машину косит влево",Глухих К. И.
